Name,Item Name,Source,Trait Description
Widdershins,Contrary Clock,Found in Treasure,Class strengths and weaknesses are reversed.
Xyrxzy's Control,Xyrxzy's Brain,Nether Boss (Xyrzyxs),"After this creature Attacks, the enemy Attacks itself as well. The amount of damage is based on this creature's Attack. This trait does not stack."
Xyrxzy's Plan,Xyrxzy Flesh,Nether Boss (Xyrzyxs),"At the start of battle, your creatures gain Mind Control. This spell causes enemies to Attack 1 additional time when they're affected by this spell."
Xyrxzy's Subversion,Xyrxzy's Nose,Nether Boss (Xyrzyxs),"After this creature manually Casts a spell, it also Casts 3 random enemies' spells as well. This trait does not stack."
Zantai's Boon,Jewel of Zantai (Purple),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now grants your creatures 3 random buffs."
Zantai's Call,Jewel of Zantai (Red),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now grants your creatures 3 random minions."
Zantai's Cunning,Jewel of Zantai (White),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic ignores 15% of the enemies' Defense."
Zantai's Embrace,Jewel of Zantai (Cyan),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now heals your creatures equal to 100% of the damage dealt."
Zantai's Envy,Jewel of Zantai (Orange),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now afflicts enemies with 3 random debuffs."
Zantai's Havoc,Jewel of Zantai (Blue),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now deals a devastating amount of damage."
Zantai's Inhibition,Jewel of Zantai (Green),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now decreases enemies stats equal to 25% of the damage dealt."
Zantai's Perfection,Jewel of Zantai (Yellow),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic has 3 extra Charges."
Zantai's Reign,Jewel of Zantai (Magenta),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now increases your creatures' stats equal to 5% of the damage dealt."
Zantai's Stratagem,Jewel of Zantai (Teal),Zantai Boss Fight,"At the start of battle, this creature gains Mega Magic. The damage of your creatures' Mega Magic is now based on their highest stat."
Zenpang's Boast,Zenpang's Feather,Nether Boss (Zenpang),Your creatures take 10% less damage for each time they've Provoked in the current battle. Maximum of 90% damage reduction. This trait does not stack.
Zenpang's Exploit,Zenpang's Bounty,Nether Boss (Zenpang),Enemies take 100% more damage while Provoking. This trait does not stack.
Zenpang's Yell,Zenpang's Bent Scythe,Nether Boss (Zenpang),"After your creatures Provoke, they gain a random buff. This trait does not stack."
