Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Life,Godspawn,Dikya,Eve,"Your creatures' spells are 100% more potent, but only have 1 Charge. This trait does not stack.",Particle of Dikya
Sorcery,Godspawn,Elqor,Empire,"This creature's spells are 50% less potent, but it casts them 4 additional times.",Particle of Elqor
Life,Godspawn,Emlai,Release the Cure,"After this creature Attacks or is damaged by an attack or spell, it gains a random buff.",Particle of Emlai
Life,Godspawn,Emus,Fear of Success,This creature's attacks deal 75% more damage and afflict the target with Inverted.,Particle of Emus
Sorcery,Godspawn,Grom'Met,Echobreather,"This creature deals 20% more damage with attacks and spells, and takes 10% less damage for each different creature class fighting on your side. This trait does not stack.",Particle of Grom'Met
Chaos,Godspawn,Iconus,Silence Speaks,"At the start of battle, this creature gains two of your other creatures' innate traits.",Particle of Iconus
Sorcery,Godspawn,Kalasag,Rescue Ride,"At the end of this creature's turn, it resurrects a random dead ally with 100% Health and Shelled.",Particle of Kalasag
Nature,Godspawn,Kapre,Any Given Sin,"After your creatures Attack, they are afflicted with Scorned. Your creatures' attacks deal 100% more damage. This trait does not stack.",Particle of Kapre
Life,Godspawn,Laglor,Nostalgia,"At the start of your creatures' turns, they cast a random spell that belongs to their class. This trait does not stack.",Particle of Laglor
Death,Godspawn,Linta,Great Expectations,Your creatures' spells are 125% more potent if they don't have any Spell Gems equipped. This trait does not stack.,Particle of Linta
Death,Godspawn,Mumu,Revolt,"After this creature Attacks or is damaged by an attack or spell, it afflicts the enemy with a random debuff.",Particle of Mumu
Life,Godspawn,Nalas,Oathbreaker,Your creatures gain 100% more benefit from stat-increasing Realm Boosts. This trait does not stack.,Particle of Nalas
Chaos,Godspawn,Noxpit,Ultimate Sacrifice,"At the start of this creature's turn, its extra traits are removed and it gains 5 random traits.",Particle of Noxpit
Chaos,Godspawn,Ottum,Elimination Process,"After this creature attacks, it deals 100% of that damage to the target.",Particle of Ottum
Chaos,Godspawn,Rengas,Rodian Aftermath,This creature deals 30% more damage with attacks and spells for each time each creature has died in the current battle.,Particle of Rengas
Death,Godspawn,Saurel,Syndicate,"At the start of your Godspawn creatures' third turns, they transform into their corresponding Avatar.",Particle of Saurel
Life,Godspawn,Tenbran,To Move On Is To Grow,This creature's attacks deal 100% more damage if it Cast a spell last turn. This creature's spells deal 100% more damage if it Attacked last turn.,Particle of Tenbran
Nature,Godspawn,Thana,Negative Noise,"While this creature is at 100% Health, it has a 90% chance to avoid damage.",Particle of Thana
Death,Godspawn,The Lost,Beyond Oblivion,This creature receives all effects that require it to be adjacent to your other creatures. This trait does not stack.,Particle of The Lost
Death,Godspawn,Tisya,Heartrage,"At the end of each creature's turn, this creature deals damage to a random enemy equal to 80% of its lowest stat.",Particle of Tisya
Nature,Godspawn,Ugat,Karma,"After this creature Attacks or is damaged by an attack or spell, it gains 50% of its lowest stat.",Particle of Ugat
Death,Godspawn,Walken,Closure,"At the end of this creature's turn, it gains 35% Current and Maximum Health and Provokes.",Particle of Walken
Nature,Godspawn,Yllor,Iniquity,"When this creature Attacks, it has a 100% chance to attack an additional time. 
This trait's effect can repeat multiple times in a row, but the chance decreases by 25% after each Attack.",Particle of Yllor
Rodian Master,Godspawn,Mastery Trait,Master of Godspawn,"If all the creatures in your party belong to the Godspawn race, at the start of battle, your Godspawn creatures gain their respective Avatar's trait.",Sigil of the Godspawn
Life,Golem,Gold Golem,Chip Off the Block,"After this creature is Attacked, your creatures gain Attack, Intelligence, Defense, and Speed equal to 15% of this creature's stats.",Gold Cog
Sorcery,Golem,Granite Golem,Embolden,This creature has extra Defense equal to 50% of the creatures' Defense adjacent to it.,Granite Cog
Death,Golem,Haunted Golem,Mechanical Illusion,"After this creature is killed, it reveals the creature that was haunting it.",Haunted Cog
Sorcery,Golem,Iron Golem,Self-Awareness,Your Golems share their innate traits with each other.,Iron Cog
Chaos,Golem,Magma Golem,Cataclysm,"After this creature is Attacked, it afflicts enemies with Burning. If enemies already have this debuff, its potency is increased by 30% instead.",Magma Cog
Nature,Golem,Moss Golem,Mass Entanglement,"After this creature Defends, each enemy has a 50% chance to be afflicted with Snared.",Moss Cog
Nature,Golem,Mud Golem,Slop,"After this creature is Attacked, enemies are afflicted with Blind. If enemies already have this debuff, it decreases their Speed by 20% instead.",Mud Cog
Death,Golem,Nightmare Golem,Bad Dreams,Each enemy has a 50% chance to start battles with Sleeping.,Nightmare Cog
Sorcery,Golem,Pumking,Pumpkin Spice,"At the start of battle, your creatures swap their Maximum Health with their Defense.",Giant Jack-o-lantern
Life,Golem,Regal Golem,Sense of Purpose,"At the start of this creature's turn, your creatures recover 35% Health.",Regal Cog
Nether Room,Golem,Treasure 2.0,Treasure Golem's Boon,"At the start of battle, enemies lose 25% of whichever stat corresponds to your lowest amount of resources. This trait does not stack.",Treasure Golem's Plate
Nether Room,Golem,Treasure 2.0,Treasure Golem's Revenge,"At the start of battle, your creatures gain 50% of whichever stat corresponds to your highest amount of resources.",Treasure Golem's Core
Nether Room,Golem,Treasure 2.0,Treasure Golem's Secret,Your creatures deal additional damage with attacks and spells equal to 20% of whichever stat correspond to your lowest amount of resources.,Treasure Golem's Teddy Bear
Sorcery,Golem,Treasure Golem,Animated Treasure,"When this creature is Attacked, it drops some resources. This creature also tries to run away each turn.",No Material Exists
Chaos,Golem,War Golem,Triple Take,This creature Attacks and Casts spells 2 additional times.,War Cog
Rodian Master,Golem,Mastery Trait,Master of Golems,"At the start of battle, your Golems gain the Double Take trait. If they already have this trait, they gain the Chip Off The Block trait instead.",Sigil of the Golem
Sorcery,Gorgon,Deranged Gorgon,Blink,This creature's attacks deal 75% more damage and afflict the target with Stone.,Deranged Snake
Sorcery,Gorgon,Gorgon Gazer,Deterioration,Enemy creatures deal 10% less damage with attacks and spells (up to 90%) for each creature with Stone that is fighting on their side. This trait does not stack.,Gazer Snake
Sorcery,Gorgon,Gorgon Sorceress,Eternal Jinx,"Enemies' Stone debuffs last forever. In addition, this creature deals 75% more damage to enemies with Stone.",Sorceress Snake
Sorcery,Gorgon,Gorgon Trickster,Treachery,"At the start of battle, this creature afflicts enemies with Stone.",Trickster Snake
Sorcery,Gorgon,Gorgon Witch,Sealed Fate,"When this creature Casts a single-target spell on an enemy, it deals 50% more damage and afflicts the target with Stone.",Witch Snake
Sorcery,Gorgon,Medusa,Steady Gaze,"When this creature takes damage from an attack or spell, it has a 50% chance to negate the damage and afflict the enemy with Stone.",Medusa Snake
Sorcery,Gorgon,Unhinged Gorgon,Pulverizing Stare,Enemy creatures take 50% more damage while they're afflicted with Stone. This trait does not stack.,Unhinged Snake
Rodian Master,Gorgon,Mastery Trait,Master of Gorgons,Your Gorgons deal 35% more damage to enemies with Stone for each Gorgon fighting on your side. This trait does not stack.,Sigil of the Gorgon
Life,Griffon,Assault Griffon,Heavy Repercussions,"At the end of this creature's turn, it has a 7% chance to take another turn for each Griffon fighting on your side.",Assault Beak
Life,Griffon,Griffon Archer,Volley,Your Griffons have an independent 20% chance to deal Critical damage with attacks for each Griffon fighting on your side. This trait does not stack.,Archer Beak
Life,Griffon,Griffon Divebomber,Impending Victory,"After one of your Griffons Attack, this creature Attacks a random enemy. This trait does not activate if the attacking Griffon also has this trait.",Divebomber Beak
Life,Griffon,Griffon Dreamfinder,All As One ,"After your Griffons receive a buff, they share a copy of that buff with all the Griffons fighting on your side. This trait does not stack.",Dreamfinder Beak
Life,Griffon,Griffon Screecher,Impunity,Your Griffons take 5% less damage for each Griffon fighting on your side. This trait does not stack.,Screecher Beak
Life,Griffon,Griffon Veteran,Gumption,"When this creature would take fatal damage, it has a 50% chance to be left with 1 Health instead.",Veteran Beak
Life,Griffon,Razorfoot Griffon,Deafening Roar,Your Griffons deal 10% more damage for each Griffon fighting on your side. This trait does not stack.,Razorfoot Beak
Life,Griffon,Silverclaw Griffon,Colony,"After one of your other Griffons Defend, the rest of them Defend as well. This trait does not stack.",Silverclaw Beak
Rodian Master,Griffon,Mastery Trait,Master of Griffons,Your Griffons' on-attack and on-critical effects occur 1 additional time. This trait does not stack.,Sigil of the Griffon
Sorcery,Grimoire,Ancient Grimoire,Book of the Elder,Your Grimoire creatures share copies of their first 2 equipped Spell Gems with each other. This trait does not stack.,Ancient Parchment
Sorcery,Grimoire,Eldritch Grimoire,Eldritch Essence,"When one of your other creatures dies, this creature Casts one of their spells 2 times.",Eldritch Pumpkin
Sorcery,Grimoire,Faded Grimoire,Book of the Lost,"When an enemy manually Casts a spell that is currently equipped by this creature, the spell has a 40% chance to fizzle and this creature Casts it instead.",Faded Parchment
Sorcery,Grimoire,Forbidden Grimoire,Book of the Heretic,This creature's spells are 100% more potent but have a 25% chance to fizzle.,Forbidden Parchment
Sorcery,Grimoire,Hidden Grimoire,Lost Knowledge,Your Grimoires Cast spells 1 additional time. This trait does not stack.,Hidden Parchment
Sorcery,Grimoire,Necro Grimoire,Book of the Dead,"At the start of battle, this creature casts its first 2 non-Ethereal Spell Gems that summon minions.",Necro Parchment
Sorcery,Grimoire,Pyro Grimoire,Book of the Arsonist,This creature's spells that apply the Burning debuff deal 30% more damage. Enemies' Burning debuffs applied by this creature also deal 30% more damage.,Pyro Parchment
Sorcery,Grimoire,Runic Grimoire,Book of the Warlock,"Your creatures start battles with Arcane. At the end of your creatures' turns, they have a 30% chance to gain Arcane.",Runic Parchment
Rodian Master,Grimoire,Mastery Trait,Master of Grimoires,"Your Grimoires are immune to Silenced. In addition, their Spell Gems do not consume Charges.",Sigil of the Grimoire
Chaos,Harpy,Harpy Eyegouger,KRAAW!!!,This creature's attacks deal 75% more damage and afflict Blind.,Eyegouger Crest
Chaos,Harpy,Harpy Hag,SCRAAAW!,"When enemies Defend or Provoke, this creature has a 50% chance to prevent this from happening.",Hag Crest
Chaos,Harpy,Harpy Marauder,Bad Omen,Enemies start battles with Blind.,Marauder Crest
Chaos,Harpy,Harpy Pillager,CAWW!,"When an enemy Attacks one of your creatures, its target is chosen at random from your other creatures.",Pillager Crest
Chaos,Harpy,Harpy Queen,BRAAAAWK!,"At the end of each enemy's turn, this creature has a 50% chance to cast a random spell.",Queen Crest
Chaos,Harpy,Harpy Screamer,SKREEE!!,"At the start of each enemy's turn, this creature has a 20% chance to afflict it with Confused.",Screamer Crest
Chaos,Harpy,Harpy Torturer,CURUKUKU!!,"When an enemy attempts to Cast a single-target spell on any other creature, they have a 50% chance to target themselves instead.",Torturer Crest
Death,Harpy,Malice Harpy,Red Wedding,"At the start of battle, 3 of your creatures are killed. This trait does not stack.",Malice Crest
Rodian Master,Harpy,Mastery Trait,Master of Harpies,"After an enemy Attacks, your Harpies Attack a random enemy for 20% normal damage. This trait does not stack.",Sigil of the Harpy
Death,Hemomancer,Hemomancer Devourer,World Domination,Your Hemomancers' innate traits now activate when they are Attacked as well.,Devourer Blood Vial
Death,Hemomancer,Hemomancer Donor,From Hero To Zero,"After this creature Attacks, it removes the target's traits that it didn't start with in battle and gives them to your creatures.",Donor Blood Vial
Death,Hemomancer,Hemomancer Lord,Heartstopper,"After this creature Attacks, it steals 20% of the target's Speed and gives it to your creatures.",Lord Blood Vial
Death,Hemomancer,Hemomancer Seer,Mind Eraser,"After this creature Attacks, it Seals one of the target's Spell Gems and gives a copy of it to your creatures.",Seer Blood Vial
Death,Hemomancer,Lunar Hemomancer,Abation,"After this creature Attacks, it steals 20% of the target's Attack and Intelligence and gives it to your creatures.",Lunar Blood Vial
Death,Hemomancer,Mutant Hemomancer,Depression,"After this creature Attacks, it steals 20% of the target's Defense and gives it to your creatures.",Mutant Blood Vial
Rodian Master,Hemomancer,Mastery Trait,Master of Hemomancers,"If all the creatures in your party are Hemomancers, their on-attack and when-attacked effects activate 1 additional time. This trait does not stack.",Sigil of the Hemomancer
Nature,Herbling,Herbling,Photomorphogenesis,"After this creature Attacks, it gains 5% Attack. After this creature Casts a spell, it gains 5% Intelligence. After this creature Defends, it gains 5% Defense.
After this creature Provokes, it gains 5% Speed.",No Material Exists
Death,Hound,Blood Hound,Blood Thirst,Your creatures can have 5 additional stacks of Dire Wolves. This trait does not stack.,Blood Collar
Death,Hound,Bone Hound,Uncharted,Your Hounds deal 5% more damage for each stack of Dire Wolves each of your creatures have. This trait does not stack.,Bone Collar
Death,Hound,Dread Hound,Summon the Pack,"At the start of your creatures' turns, they gain 1 stack of Dire Wolves. This trait does not stack.",Dread Collar
Death,Hound,Hell Hound,Hound Legion,Your creatures' Dire Wolves will never go away.,Hell Collar
Death,Hound,Horror Hound,Fingertip Nip,Your creatures' Dire Wolves deal additional damage equal to 20% of their master's Attack. This trait does not stack.,Horror Collar
Death,Hound,Panic Hound,Vicious Bite,Your creatures deal 2% more damage for each stack of Dire Wolves each of your creatures have. This trait does not stack.,Panic Collar
Death,Hound,Terror Hound,Nature of the Beast,Your creatures start battles with 3 stacks of Dire Wolves. This trait does not stack.,Terror Collar
Death,Hound,Thylacine,Eye of the Thylacine,"After this creature Attacks or Casts a spell, your Godspawn creatures perform the same action. Your creatures deal 95% less damage.",No Material Exists
Rodian Master,Hound,Mastery Trait,Master of Hounds,Your Hounds' Dire Wolves now deal damage based on their highest stat rather than Speed.,Sigil of the Hound
Nature,Hunter,Faith Hunter,Glaive of Prayer,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and has a 20% chance to resurrect a random ally with 40% Health.
This effect repeats once for each Hunter fighting on your side.",Faith Glaive
Nature,Hunter,Heretic Hunter,Glaive of Justice,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and has a 50% chance to Cast Holy Smite.
This effect repeats once for each Hunter fighting on your side.",Heretic Glaive
Nature,Hunter,Hunter Director,Director's Cut,"After this creature Attacks, it deals damage to a random enemy equal to 70% of the attack's damage. This effect repeats once for each Hunter fighting on your side.",Director Glaive
Nature,Hunter,Hunter Scout,Glaive of Power,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and gains 15% of its lowest stat.
This effect repeats once for each Hunter fighting on your side.",Scout Glaive
Nature,Hunter,Light Hunter,Glaive of Hungering,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and heals itself for 100% of this damage.
This effect repeats once for each Hunter fighting on your side.",Light Glaive
Nature,Hunter,Moon Hunter,Razorsharp,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage, with a 40% chance to deal 100% of the attack's damage.
This effect repeats once for each Hunter fighting on your side.",Moon Glaive
Nature,Hunter,Servant Hunter,Hunter's Season,"After this creature Attacks, it deals damage to a random enemy equal to 35% of the attack's damage and afflicts them with Poisoned.
This effect repeats once for each Hunter fighting on your side.",Servant Glaive
Nature,Hunter,Silent Hunter,Glaive of Destruction,"After this creature Attacks, it deals damage to a random enemy equal to 20% of its Current Health. This effect repeats once for each Hunter fighting on your side.",Silent Glaive
Rodian Master,Hunter,Mastery Trait,Master of Hunters,Your Hunters' innate traits repeat twice as many times. This trait does not stack.,Sigil of the Hunter
Nature,Imler,Boulder Imler,Next Generation,"After this creature dies, it grants 30% of its Attack, Intelligence, Defense, Speed, and its innate trait to your Imlings.",Boulder Ore
Nature,Imler,Iron Imler,Vengeance,"After your Imlings die, this creature gains 100% Attack and 50% Speed.",Iron Ore
Nature,Imler,Marble Imler,Nothing to Lose,"After one of your Imlings dies, this creature Attacks random enemies 5 times.",Marble Ore
Nature,Imler,Mithril Imler,Spirit Link,Your Imlers and Imlings take 10% less damage for each Imler and Imling fighting on your side. Maximum of 90% damage reduction. This trait does not stack.,Mithril Ore
Nature,Imler,Redstone Imler,Lead By Example,"Your Imlings gain 25% of the Attack, Intelligence, Defense, and Speed bonuses from this creature's Artifact.",Redstone Ore
Nature,Imler,Sandstone Imler,Patriarchy,This creature takes all damage from attacks and spells in place of your Imlings.,Sandstone Ore
Nature,Imler,Silver Imler,Devotion,"If you only have one Imler and one Imling fighting on your side, both creatures take 65% less damage. This trait does not stack.",Silver Ore
Nature,Imler,Trick Imler,Trick Imler,"After your creatures Provoke, they deal damage to a random enemy equal to 50% of their Attack. This trait does not stack.",Trick Pumpkin
Rodian Master,Imler,Mastery Trait,Master of Imlers,Your Imlers and Imlings deal 20% more damage for each Imler and Imling fighting on your side. This trait does not stack.,Sigil of the Imler
Nature,Imling,Diamond Imling,Trove,"At the start of battle, your Imlers and Imlings share copies of their first 3 non-Ethereal Spell Gems with each other.",Diamond Charm
Nature,Imling,Leda Imling,Ingenuity,"Your Imlers gain 25% of the Attack, Intelligence, Defense, and Speed bonuses from this creature's Artifact.",Leda Charm
Nature,Imling,Putrid Imling,Thick and Thin,"After your Imlers die, they have a 50% chance to be resurrected with 100% Health. This trait does not stack.",Putrid Charm
Nature,Imling,Rancid Imling,Jealousy,"If you only have one Imler and one Imling fighting on your side, both creatures share 50% of their base Attack, Intelligence, Defense, and Speed with each other.
This trait does not stack.",Rancid Charm
Nature,Imling,Rock Imling,Everything to Gain,"After one of your Imlers dies, this creature Casts its first 5 non-Ethereal spells.",Rock Charm
Nature,Imling,Tainted Imling,Rapid Evolution,"At the start of battle, this creature fuses with a copy of a random Imler adjacent to it.",Tainted Charm
Nature,Imling,Treat Imling,Crazy Idea,"While this creature is dead, it Casts a random spell at the start of each enemy's turn.",Treat Pumpkin
Nature,Imling,Varve Imling,Patch Up,"After your Imlers are damaged, they recover 20% Health. This trait does not stack.",Varve Charm
Rodian Master,Imling,Mastery Trait,Master of Imlings,Your Imlers and Imlings take 5% less damage for each Imler and Imling fighting on your side. This trait does not stack.,Sigil of the Imling
Life,Imp,Imp Bishop,Grayscale,"After this creature Casts a spell, it resurrects a random ally with 50% Health.",Bishop Totem
Nature,Imp,Imp Hexer,Earthen Attunement,"At the start of battle, your creatures gain Shellbust. This spell is cast 1 additional time.",Hexer Totem
Nature,Imp,Imp Incarnate,Miracle of the Mind,Your creatures' Spell Gems have a 50% chance to Cast 1 additional time. This trait does not stack.,Incarnate Totem
Nature,Imp,Imp Inscriber,Voodoo,This creature takes 10% less damage (up to 50%) for each non-Ethereal Nature Spell Gem it has equipped.,Inscriber Totem
Nature,Imp,Imp Necromancer,Darkness Fate,"Your creatures have 7% more Speed for each permanent Nature Spell Gem each of your creatures have equipped. Maximum of 3 Spell Gems per creature.
This trait does not stack.",Necromancer Totem
Nature,Imp,Imp Ritualist,Creationism,"When your creatures Cast a damaging Nature spell, each of your creatures contribute 10% of their Intelligence toward the damage dealt. This trait does not stack.",Ritualist Totem
Nature,Imp,Imp Sacrificer,Ordinary Abnormality,Your creatures' Nature spells Cast 1 additional time. This trait does not stack.,Sacrificer Totem
Nature,Imp,Imp Shaman,Incarnation,"When your creatures Cast a single-target Nature spell, they have a 50% chance to Cast the spell on all the creatures fighting on the target's side. This trait does not stack.",Shaman Totem
Nether Boss,Imp,Imp Impington,Hee Hay Ho Ha,Your creatures Cast 0.5 additional time for each Imp creature fighting on your side. This trait does not stack.,Impington's Laser Eye
Nether Boss,Imp,Imp Impington,Hee Hoo Ha,Your creatures have a 15% chance to take an additional turn. This trait does not stack.,Impington's Totem
Nether Boss,Imp,Imp Impington,Hoo Ho Ha,"After this creature is killed, it is resurrected as Imp Impington Prime.",Impington's Cog
Rodian Master,Imp,Mastery Trait,Master of Imps,"At the start of battle, your Imps gain Shellbust. Your Imps' Shellbust now targets all enemies, and this spell's potency is not penalized for being Ethereal.
This trait does not stack.",Sigil of the Imp
Nature,Inquisitor,Carnivorous Inquisitor,Permanence,Your creatures' minions have a 50% lower chance to go away. This trait does not stack.,Carnivorous Chalice
Nature,Inquisitor,Infernal Inquisitor,Open The Portals,"After this creature Attacks, it gains a random minion. After your other creatures Attack, they have a 30% chance to gain a random minion. This trait does not stack.",Infernal Chalice
Nature,Inquisitor,Inquisitor Countess,On A Pale Horse,"Your creatures' Conquest, Death, Famine, and War are 100% more powerful. This trait does not stack.",Countess Chalice
Nature,Inquisitor,Inquisitor Egglayer,Mass Summoning,"At the start of battle, your creatures gain 1 to 3 random minions. This trait does not stack.",Egglayer Chalice
Nature,Inquisitor,Inquisitor Weaver,Pleasant Disease,"When your creatures' Writhelings minions afflict a debuff, they also grant one of your creatures a random buff. In addition, your creatures start battles with 1 Writhelings.",Weaver Chalice
Nature,Inquisitor,Watchful Inquisitor,The Walking Dead,"Your creatures' Zombies minions now deal damage based on their master's highest stat. In addition, your creatures start battles with 1 Zombies. This trait does not stack.",Watchful Chalice
Rodian Master,Inquisitor,Mastery Trait,Master of Inquisitors,"If all the creatures in your party are Inquisitors, they gain a random minion at the start of their turns. This trait does not stack.",Sigil of the Inquisitor
Sorcery,Koloss,Bestial Koloss,Hearty Appetite,"After your creatures gain Attack, Intelligence, Defense, or Speed, they gain 20% of that amount as Maximum Health as well. This trait does not stack.",Dull Blade
Sorcery,Koloss,Koloss Champion,Heart Versus Mind,"After your creatures' Barrier buffs are damaged and destroyed, they gain 50% of the original strength of the Barrier as Maximum Health. This trait does not stack.",Bastard Blade
Sorcery,Koloss,Koloss Doombringer,Rise Above,"After your creatures are healed, they gain 5% of that amount as Maximum Health as well. This trait does not stack.",Imperfect Blade
Sorcery,Koloss,Koloss Eradicator,Trauma Prevention,"When your creatures gain a Barrier, the strength of the Barrier is increased by an amount equal to 25% of their Maximum Health. This trait does not stack.",Serrated Blade
Sorcery,Koloss,Koloss Firebrand,Division of Mortality,This creature deals additional damage with attacks and spells equal to its Current Health minus the target's Current Health.,Flaming Blade
Sorcery,Koloss,Night Koloss,Big Boned,"At the start of battle, this creature gains Maximum Health equal to 35% of its Attack, Intelligence, Defense, and Speed. Then, these stats are set to their minimum values.",Night Blade
Rodian Master,Koloss,Mastery Trait,Master of Kolosses,Your Kolosses start battles with 20% more Current and Maximum Health for each Koloss fighting on your side. This trait does not stack.,Sigil of the Koloss
Chaos,Kraken,Abyssal Kraken,Abyssal Waters,"As long as your creatures haven't gained or lost stats, they have 50% more stats (other than Health). This trait does not stack.",Ghastly Sucker
Chaos,Kraken,Inkjet Kraken,Inky Escape,"As long as this creature hasn't gained or lost Speed, it has 200% more Speed and has Agile.",Gross Sucker
Chaos,Kraken,Ironside Kraken,Iron Shell,"As long as this creature hasn't gained or lost Defense, it has 200% more Defense and has Protected.",Hideous Sucker
Chaos,Kraken,Kraken Hundredhand,Hundred Hands,"As long as your creatures haven't gained or lost stats, this creature has 100% more stats (other than Health).",Repulsive Sucker
Chaos,Kraken,Kraken Shipbreaker,Shipbreaker,"As long as this creature hasn't gained or lost Attack, it has 200% more Attack and has Berserk.",Dreadful Sucker
Chaos,Kraken,Unblinking Kraken,Unblinking Eyes,"As long as this creature hasn't gained or lost Intelligence, it has 200% more Intelligence and has Arcane.",Creepy Sucker
Rodian Master,Kraken,Mastery Trait,Master of Krakens,"If all the creatures in your party are Krakens, the stat boosts from their innate traits is increased by 50%. This trait does not stack.",Sigil of the Kraken
Death,Leech,Leech Devourer,Coming Undone,"After your creatures with Leeching Attack, they gain 10% Attack, Intelligence, Defense, and Speed. This trait does not stack.",Devourer Cyst
Death,Leech,Leech Digger,Cleansed Blood,Your creatures with Leeching deal 30% more damage and no longer take damage from Blighted. This trait does not stack.,Digger Cyst
Death,Leech,Moon Leech,Deeper Sucking,Your creatures' Leeching buff is 100% more effective. This trait does not stack.,Celestial Cyst
Death,Leech,Oculum Leech,Bloodlust,Your creatures always have Leeching and receive 30% more healing.,Oculum Cyst
Death,Leech,Oozing Leech,Blood Barrier,"After your creatures are healed by their Leeching buff, they gain a Barrier that absorbs damage equal to 50% of the amount recovered. This trait does not stack.",Oozing Cyst
Death,Leech,Toxic Leech,Imbibe,"After your creatures with Leeching take damage, they are healed for an amount equal to 40% of the damage taken. This trait does not stack.",Toxic Cyst
Rodian Master,Leech,Mastery Trait,Master of Leeches,"If all the creatures in your party are Leeches, their Leeching buff lasts forever and heals for 300% more. This trait does not stack.",Sigil of the Leech
Death,Leper,Addled Leper,Lush Licks,"After your creatures Attack, they afflict their target with a copy of their debuffs.",Addled Pimple
Death,Leper,Blood Leper,Blood Boil,"After this creature Provokes, it explodes and dies, dealing damage to enemies equal to 50% of its Speed for each debuff it had before it died.",Blood Pimple
Death,Leper,Crazed Leper,Final Excretion,"After an enemy dies, this creature Casts Corpse Explosion.",Crazed Pimple
Death,Leper,Grave Leper,Puppet Master,This creature deals 20% more damage and takes 5% less damage for each minion it has.,Grave Pimple
Death,Leper,Leper Blightbringer,Pus and Pox,"At the start of each enemy's turn, this creature afflicts them with a random debuff. This trait does not stack.",Blightbringer Pimple
Death,Leper,Leper Defiler,Hugs and Kisses,"After this creature takes damage from an attack or spell, it afflicts the enemy with a random debuff.",Defiler Pimple
Death,Leper,Leper Plaguespreader,Stank,Enemies deal 5% less damage (up to 90%) and take 7% more damage for each debuff they have. This trait does not stack.,Plaguespreader Pimple
Death,Leper,Tortured Leper,Wrong Side,"After your creatures are afflicted with a debuff, they have a 40% chance to remove the debuff and give it to a random enemy. This trait does not stack.",Tortured Pimple
Rodian Master,Leper,Mastery Trait,Master of Lepers,"If all the creatures in your party are Lepers, they afflict an additional debuff on enemies when they afflict them with a debuff. This trait does not stack.",Sigil of the Leper
Death,Lich,Lich Bloodletter,Heretic Blood,Your creatures' Death spells now cost 20% Health and don't consume any Charges.,Bloodletter Knife
Death,Lich,Lich Hellcaster,Necronomicon,"This creature Casts Death spells 2 additional times, but these spells act as if this creature has 50% less Intelligence.",Hellcaster Knife
Death,Lich,Lich King,Hail to the King,"At the start of battle, this creature gains Summon Conquest, Summon War, Summon Death, and Summon Famine.",King Knife
Death,Lich,Lich Necromancer,Necromastery,Your creatures' Spell Gems that summon minions do not consume any Charges.,Necromancer Knife
Sorcery,Lich,Lich Netherwalker,Watch of the Buried,"When this creature gains a minion, that minion's number of stacks is set to the maximum amount.",Netherwalker Knife
Death,Lich,Lich Overseer,Dark Aegis,"Your creatures have 7% more Defense for each non-Ethereal Death Spell Gem each of your creatures have equipped. Maximum of 3 Spell Gems per creature.
This trait does not stack.",Overseer Knife
Death,Lich,Lich Priest,Unholy Prayer,"At the start of battle, your creatures gain Murder of Crows. This spell deals damage 2 additional times.",Priest Knife
Death,Lich,Lich Shadowcaster,Sacrimony,Your creatures Cast Death spells as if they have 100% more Intelligence. This trait does not stack.,Shadowcaster Knife
Nether Boss,Lich,King Andrick,Andrick's Empowerment,Your creatures deal 5% more damage for each minion each of your creatures have. This trait does not stack.,Andrick's Tarnished Crown
Nether Boss,Lich,King Andrick,Andrick's Folly,"When your creatures gain a minion, the minion has 1 additional stack. This trait does not stack.",Andrick's Molding Tome
Nether Boss,Lich,King Andrick,Andrick's Royal Decree,"After your creatures gain a minion, they also gain a random buff. This trait does not stack.",Andrick's Tattered Garb
Rodian Master,Lich,Mastery Trait,Master of Liches,"After your Liches Cast a Death spell, they gain 10% Intelligence. This trait does not stack.",Sigil of the Lich
Nature,Luckmantria,Ace Luckmantria,Royal Flush,Your Luckmantria creatures share their innate traits with each other.,Torn Card (Ace)
Nature,Luckmantria,Club Luckmantria,Showdown,"If this creature's Intelligence is higher than that of any enemy, it has 100% more Intelligence.",Torn Card (Club)
Nature,Luckmantria,Diamond Luckmantria,Semi-Bluff,"While this creature is Defending, its Intelligence is swapped with its Defense. This creature takes 30% less damage while it is Defending.",Torn Card (Diamond)
Nature,Luckmantria,Heart Luckmantria,Ante,This creature has additional Intelligence equal to 5% of your other creatures' Current Health.,Torn Card (Heart)
Nature,Luckmantria,Joker Luckmantria,Implied Odds,"After a creature is killed, your creatures gain a random buff. This trait does not stack.",Torn Card (Joker)
Nature,Luckmantria,Spade Luckmantria,Drawing Dead,"If this creature's Attack is lower than that of any enemy, it has 100% more Attack.",Torn Card (Spade)
